"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rstantools","rstantools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.1",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"rstatix","rstatix","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Rttf2pt1","Rttf2pt1","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.8",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.0"
"rtweet","rtweet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.0",NA,"R (>= 3.1.0)","httr (>= 1.3.0), jsonlite (>= 0.9.22), magrittr (>= 1.5),
tibble (>= 1.3.4), utils, progress, Rcpp, httpuv",NA,"ggplot2, knitr, magick, openssl, readr, rmarkdown, testthat
(>= 2.1.0), webshot, covr, igraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rvg","rvg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.5",NA,"R (>= 3.0)","grDevices, Rcpp (>= 0.12.12), officer (>= 0.3.6), gdtools (>=
0.2.1), xml2 (>= 1.0.0), rlang","Rcpp, gdtools","rmarkdown, htmltools, testthat, covr, grid, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"RWeka","RWeka","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-43",NA,"R (>= 2.6.0)","RWekajars (>= 3.9.3-1), rJava (>= 0.6-3), graphics, stats,
utils, grid",NA,"partykit (>= 0.8.0), mlbench, e1071",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"RWekajars","RWekajars","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.9.3-2",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0-0",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"sass","sass","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"scico","scico","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 2.10)","grDevices",NA,"ggplot2, testthat, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"see","see","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.4",NA,"graphics, grDevices, R (>= 3.4), stats","bayestestR, effectsize, ggplot2, ggridges, insight, parameters
(>= 0.13.0), rlang",NA,"brms, coda, correlation, dplyr, emmeans, ggraph, ggrepel,
glmmTMB, grid, gridExtra, httr, lavaan, lme4, logspline, MASS,
mclust, metafor, modelbased, NbClust, nFactors, performance (>=
0.7.1), psych, qqplotr, randomForest, rmarkdown, rstanarm,
splines, tidygraph, tidyr, spelling, testthat (>= 3.0.0),
vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.0.0"
"sem","sem","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1-11",NA,"R (>= 3.5.0), stats","matrixcalc, MASS, boot, mi (>= 0.9-99), utils",NA,"polycor, DiagrammeR",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"semTools","semTools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5-4",NA,"R(>= 3.4), utils, stats, graphics, lavaan(>= 0.6-7)","methods",NA,"MASS, foreign, parallel, boot, Amelia, mice, GPArotation,
mnormt, blavaan, emmeans, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"servr","servr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.21",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"sf","sf","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-8",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, microbenchmark, odbc, pillar, pool,
raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, s2 (>= 1.0.1), sp (>= 1.2-4), spatstat
(>= 2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"sfsmisc","sfsmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-10",NA,"R (>= 3.3.0)","grDevices, methods, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
gmp, pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"shinyjs","shinyjs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, shinydisconnect,
testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"shinystan","shinystan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.5.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)",NA,"coda, knitr (>= 1.9), rmarkdown (>= 0.8.1), rstanarm (>=
2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"shinythemes","shinythemes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"shinyWidgets","shinyWidgets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.0",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 0.14), htmltools, jsonlite, grDevices",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"showtext","showtext","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9-2",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.0.2"
"showtextdb","showtextdb","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.0"
"signal","signal","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7-6",NA,"R (>= 2.14.0)","MASS, graphics, grDevices, stats, utils",NA,"pracma",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"simr","simr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.5",NA,"lme4 (>= 1.1-16)","binom,iterators,pbkrtest,plotrix,plyr,RLRsim,stringr,stats,methods,utils,graphics,grDevices,car",NA,"testthat,knitr,rmarkdown,lmerTest (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"sjlabelled","sjlabelled","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.7",NA,"R (>= 3.2)","insight (>= 0.7.0), stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"sjmisc","sjmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.8.6",NA,"R (>= 3.5)","dplyr, insight, magrittr, methods, purrr, rlang, sjlabelled
(>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, sjPlot, sjstats,
knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"sjPlot","sjPlot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.8.9",NA,"R (>= 3.6)","graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, effectsize, ggeffects, ggplot2 (>= 3.2.0), knitr,
insight, MASS, parameters, performance, purrr, rlang, scales,
sjlabelled (>= 1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8),
tidyr (>= 1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, GPArotation,
ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4, nFactors,
pscl, psych, rmarkdown, rstanarm, sandwich, survey, TMB,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"sjstats","sjstats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.18.1",NA,"R (>= 3.5), utils","bayestestR, broom, dplyr, effectsize, emmeans, insight, lme4,
magrittr, MASS, modelr, parameters, performance, purrr, rlang,
sjlabelled, sjmisc, stats, tidyr",NA,"brms, car, coin, ggplot2, graphics, pscl, pwr, sjPlot,
survey, rstan, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"Skillings.Mack","Skillings.Mack","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.10",NA,"R (>= 3.1.1)","MASS, stats, matrixcalc",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"slam","slam","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-48",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"smooth","smooth","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1.0",NA,"R (>= 3.0.2), greybox (>= 0.6.7)","Rcpp (>= 0.12.3), stats, graphics, grDevices, pracma, statmod,
MASS, nloptr, utils, zoo","Rcpp, RcppArmadillo (>= 0.8.100.0.0)","Mcomp, forecast (>= 7.0), numDeriv, testthat, knitr,
rmarkdown, doMC, doParallel, foreach",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"SnowballC","SnowballC","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"spam","spam","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.6-0",NA,"R (>= 3.1), dotCall64, grid, methods",NA,NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"spaMM","spaMM","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.7.2",NA,"R (>= 3.2.0)","methods, stats, graphics, Matrix, MASS, proxy, Rcpp (>=
0.12.10), nlme, nloptr, minqa, pbapply, crayon, gmp (>= 0.6.0),
ROI, boot","Rcpp, RcppEigen (>= 0.3.3.5.0)","maps, testthat, lme4, rsae, rcdd, pedigreemm, foreach,
multilevel, Infusion (>= 1.3.0), IsoriX (>= 0.8.1), blackbox
(>= 1.1.25), RSpectra, ROI.plugin.glpk","multcomp, RLRsim","CeCILL-2",NA,NA,NA,NA,"yes","4.0.2"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-13","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"spData","spData","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.8",NA,"R (>= 3.3.0)","sp, raster",NA,"foreign, maptools, rgdal, sf (>= 0.9-1), spDataLarge (>=
0.4.0), spdep, spatialreg",NA,"CC0",NA,NA,NA,NA,"no","4.0.2"
"spdep","spdep","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-5",NA,"R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf","deldir, boot (>= 1.3-1), graphics, grDevices, utils, stats,
Matrix, LearnBayes, MASS, coda, expm, gmodels, nlme",NA,"spatialreg (>= 1.1-1), parallel, RANN, rgeos, RColorBrewer,
lattice, xtable, maptools (>= 0.5-4), foreign, igraph,
RSpectra, knitr, rgdal, classInt, tmap, spam, ggplot2,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"spiderbar","spiderbar","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.3",NA,"R (>= 3.2.0)","Rcpp","Rcpp","covr, robotstxt, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"splancs","splancs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.01-40",NA,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"spongebob","spongebob","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,NA,NA,NA,"testthat, fortunes, ggplot2",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"stabledist","stabledist","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"StanHeaders","StanHeaders","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.21.0-7",NA,"R (>= 3.4.0)","RcppParallel (>= 5.0.1)","RcppEigen, RcppParallel (>= 5.0.1)","Rcpp, BH, knitr (>= 1.15.1), rmarkdown, Matrix, methods,
rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"stargazer","stargazer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","5.2.2",NA,NA,"stats, utils",NA,NA,"AER, betareg, brglm, censReg, dynlm, eha, erer, ergm, fGarch,
gee, glmx, gmm, lfe, lme4, lmtest, MASS, mclogit, mgcv, mlogit,
mnlogit, nlme, nnet, ordinal, plm, pscl, quantreg, rms,
relevent, robustbase, sampleSelection, spdep, survey, survival,
Zelig","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"statmod","statmod","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.35",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.0.3",NA,NA,NA,NA,NA,"4.0.3"
"stopwords","stopwords","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2",NA,"R (>= 2.10)","ISOcodes",NA,"covr, lintr, quanteda, spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"stringdist","stringdist","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9.6.3",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.6",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.2"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"strucchange","strucchange","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5-2",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats, utils",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"styler","styler","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.1",NA,NA,"backports (>= 1.1.0), cli (>= 1.1.0), magrittr (>= 2.0.0),
purrr (>= 0.2.3), R.cache (>= 0.14.0), rematch2 (>= 2.0.1),
rlang (>= 0.1.1), rprojroot (>= 1.1), tibble (>= 1.4.2), tools,
withr (>= 1.0.0), xfun (>= 0.1)",NA,"data.tree (>= 0.1.6), digest, dplyr, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"summarytools","summarytools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.0",NA,"R (>= 2.10)","base64enc, checkmate, dplyr, grDevices, htmltools, lubridate,
magick, matrixStats, methods, pander, pryr, rapportools, stats,
tcltk, tibble, tidyr, utils",NA,"forcats, formatR, kableExtra, knitr, magrittr, rmarkdown,
rstudioapi",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"SuppDists","SuppDists","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-9.5",NA,"R (>= 3.3.0)",NA,NA,"RcppZiggurat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"survey","survey","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0",NA,"R (>= 3.1.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)",NA,"foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.2-10","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"svUnit","svUnit","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.6",NA,"R (>= 1.9.0)","utils",NA,"svGUI, datasets, XML, RUnit, knitr, markdown, covr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"swirl","swirl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.5",NA,"R (>= 3.1.0)","stringr, testthat (>= 1.0.2), httr (>= 1.1.0), yaml, RCurl,
digest, tools, methods",NA,"stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"sylly","sylly","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-6",NA,"R (>= 3.0.0)","methods",NA,"testthat,knitr,rmarkdown,sylly.de,sylly.en,sylly.es",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"sylly.en","sylly.en","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-3",NA,"R (>= 3.1),sylly",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"sys","sys","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"sysfonts","sysfonts","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.3",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"systemfonts","systemfonts","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"tables","tables","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9.6",NA,"R (>= 2.12.0)","stats, utils, knitr, htmltools",NA,"magrittr, kableExtra (>= 0.9.0), Hmisc, bookdown, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"utils",NA,NA,NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"TeachingDemos","TeachingDemos","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.12",NA,"R (>= 2.10)",NA,NA,"tkrplot, lattice, MASS, rgl, tcltk, tcltk2, png, ggplot2,
logspline, maptools, R2wd, manipulate",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
